Customer_ID,Company_Name,Signup_Date,Last_Order_Date,Industry_Category,Company_Size,Company_Age_Years,Emirate,Primary_Sales_Channel,Number_of_Sales_Channels,Monthly_Order_Volume,Avg_Order_Value_AED,Number_of_SKUs,Total_Lifetime_Orders,Return_Rate_Pct,COD_Order_Pct,Avg_Delivery_Time_Days,Peak_Season_Multiplier,Uses_Warehousing,Uses_Same_Day_Delivery,Uses_Next_Day_Delivery,Uses_Reverse_Logistics,Uses_COD_Collection,Uses_International_Shipping,Uses_Qcommerce_Fulfillment,Uses_Inventory_Management,Uses_Custom_Packaging,Current_Provider,Contract_Type,Preferred_Billing_Cycle,Tech_Integration_Level,Monthly_Logistics_Spend_AED,Recency_Days,Order_Frequency_Per_Month,Customer_Lifetime_Value_AED,On_Time_Delivery_Rate_Pct,Order_Accuracy_Pct,Avg_Support_Response_Hours,Complaints_Last_Quarter,Damaged_Shipment_Pct,Satisfaction_Score,NPS_Rating,Price_Sensitivity,Primary_Pain_Point,Willingness_To_Switch,Churned,Premium_Tier_Adoption
CUST-11123,Zest Collective,2023-04-04,2026-06-05,Health & Supplements,Startup,-1.4,Dubai,Retail Partners,2,130,149.47,26,3371,22.1,81.6,4.1,1.82,0,0,1,1,0,0,0,0,1,aramex,Monthly,Monthly,Manual,1229.59,22,2.3,52980.21,85.1,96.2,18.1,5,2.3,3,4,High,Coverage,5,No,No
CUST-10086,Coral Supply,2023-10-05,2026-06-26,Jewellery & Accessories,Mid-Market,6.4,Abu Dhabi,Retail Partners,4,2598,231.65,672,66513,14.2,47.9,2.6,2.26,No,No,1,1,1,0,0,1,0,In-house,Monthly,Weekly,API Integrated,43270.93,1,4.2,1915179.0,95.0,97.6,2.1,4,3.5,4,2,Low,Cost,4,No,Yes
CUST-10077,Oasis Goods,2023-11-01,2026-06-17,Food & Beverage,SME,5.2,Dubai,TikTok Shop,1,122,AED 249.64,131,2660,8.5,44.3,2.2,2.49,0,No,1,1,0,1,0,0,0,Fetchr,Annual,Monthly,Manual,2197.38,10,2.4,77265.08,91.1,91.0,2.8,1,4.3,4,2,Medium,Returns Handling,4,No,No
CUST-10768,Marina Supply,2025-09-17,20/02/2026,Beauty & Cosmetics,Startup,4.2,Dubai,TikTok Shop,2,57,109.56,11,501,16.6,61.4,2.8,1.74,0,0,0,1,1,Yes,0,0,1,Aramex,Pay-as-you-go,Bi-weekly,Manual,,127,2.2,16514.11,80.7,99.5,25.0,10,5.5,1,0,Medium,Coverage,5,Yes,No
CUST-10685,Zest Boutique,09/12/2024,16 Feb 2026,Toys & Baby,SME,2.9,Dubai,Retail Partners,2,191,159.83,145,2705,12.0,65.9,1.2,1.94,0,0,1,0,1,0,0,0,0,In-house,Monthly,Monthly,Manual,1921.7,131,3.6,45415.69,89.7,95.4,10.1,1,3.8,3,1,High,Speed,5,No,No
CUST-10306,Luxe Lab,2024-07-26,20 Jun 2026,Fashion & Apparel,SME,3.5,Fujairah,Own Website,2,1260,167.27,167,25864,19.1,53.8,3.2,2.08,0,0,0,0,0,0,0,0,1,,Annual,Monthly,Manual,21002.32,7,3.1,578939.82,85.6,92.4,8.6,4,5.9,3,4,Low,Reliability,5,No,Yes
CUST-10907,Bloom Collective,2026-04-10,2026-06-14,Jewellery & Accessories,Startup,3.6,Ajman,Retail Partners,1,97,112.52,12,224,17.5,55.4,2.7,2.39,1,0,0,1,1,0,0,1,1,In-house,Pay-as-you-go,Monthly,Manual,724.68,13,3.0,17248.19,91.0,88.8,22.2,4,6.2,4,4,Medium,Speed,4,Yes,No
CUST-10083,Luxe Tech,2024-11-15,2026-06-15,Beauty & Cosmetics,Startup,2.6,Ras Al Khaimah,Retail Partners,1,119,117.92,22,1516,27.2,50.6,2.6,1.25,0,1,1,No,0,0,1,0,1,In-house,Pay-as-you-go,Weekly,Manual,917.51,12,2.5,15901.43,83.8,95.0,19.0,4,4.7,3,1,High,Returns Handling,5,No,No
CUST-10778,Velvet Goods,2025-08-22,2026-05-26,Fashion & Apparel,Mid-Market,4.8,Sharjah,Retail Partners,2,4659,246.99,336,47252,1.3,38.1,1.5,2.83,0,0,1,0,0,1,0,0,1,In House,Annual,Monthly,Dashboard Only,89270.7,32,4.6,3655202.15,93.1,93.9,16.8,1,2.4,5,4,Medium,Returns Handling,4,No,Yes
CUST-10762,Lumen Brands,2023-09-24,2026-05-20,Food & Beverage,Startup,2.9,Fujairah,Noon,1,91,167.62,13,2498,15.5,75.1,4.6,1.35,0,0,1,No,1,0,0,0,0,Aramex,Pay-as-you-go,Monthly,Manual,1591.37,38,2.3,30402.62,99.1,100.0,7.5,6,5.0,3,3,Medium,Cost,5,Yes,No
CUST-10164,Coral Lab,2023-11-24,2026-06-09,Jewellery & Accessories,SME,5.6,Umm Al Quwain,Own Website,4,812,173.74,10,16859,15.5,65.4,2.2,1.0,1,0,0,1,1,1,1,0,1,None,Monthly,Weekly,Manual,9234.86,18,3.3,553906.05,100.0,95.5,8.2,4,4.0,4,5,High,Reliability,5,No,No
CUST-10394,Lumen Bazaar,2023-07-09,2026-04-07,Home & Living,Startup,6.1,Dubai,Own Website,3,115,118.39,25,3972,18.5,61.5,2.3,1.71,0,0,1,1,1,0,0,1,0,In-house,Pay-as-you-go,Monthly,Manual,1139.49,81,1.3,46986.01,90.2,94.0,19.1,6,7.0,4,5,High,Returns Handling,5,No,No
CUST-10655,Desert Brands,28 Jan 2023,2026-06-22,electronics & gadgets ,SME,5.8,Ajman,Instagram Shop,2,1003,151.9,138,26822,12.8,73.1,3.1,1.48,0,0,1,0,1,0,0,1,0,In-house,Monthly,Monthly,API Integrated,10103.67,5,3.4,455888.41,93.6,90.0,8.6,1,1.9,5,4,High,Reliability,4,No,Yes
CUST-10031,Marina Bazaar,2026-03-03,2026-05-20,Electronics & Gadgets,Enterprise,2.6,Abu Dhabi,Noon,5,10220,384.58,1689,36365,14.1,30.5,1.2,2.54,1,1,0,1,0,0,1,1,1,Aramex,Annual,Weekly,API Integrated,313116.29,38,5.1,6966399.26,93.5,94.1,0.5,2,0.7,4,5,Medium,Coverage,3,No,Yes
CUST-10703,Falcon Co,06/02/2024,2026-05-19,Home & Living,Mid-Market,2.8,Abu Dhabi,Retail Partners,5,4928,231.15,716,123226,9.1,23.5,2.8,2.08,Yes,0,1,0,0,0,0,1,0,None,Monthly,Monthly,Dashboard Only,121624.5,39,4.1,2941150.49,92.4,93.1,2.8,1,3.3,5,6,Medium,COD Reconciliation,3,No,Yes
CUST-10298,Falcon Tech,2024-04-30,2026-06-02,Toys & Baby,Mid-Market,6.1,Dubai,Amazon.ae,4,3442,301.07,727,89543,6.2,38.2,2.7,2.31,1,1,0,0,0,No,1,1,1,In-house,Pay-as-you-go,Monthly,API Integrated,74280.28,25,3.3,4732190.04,100.0,97.5,7.1,4,1.4,4,4,Low,Coverage,4,No,Yes
CUST-10353,Urban Beauty,08 May 2026,2026-06-12,Beauty & Cosmetics,SME,0.3,Dubai,Instagram Shop,2,789,133.82,104,991,12.5,63.3,2.5,2.36,0,0,1,0,1,1,0,0,0,Aramex,Annual,Monthly,Manual,7461.71,15,2.7,22319.16,96.1,90.9,16.5,4,0.4,6,7,High,,4,No,No
CUST-10505,Mirage Bazaar,2025-12-12,2026-06-26,Health & Supplements,Mid-Market,0.8,Ajman,TikTok Shop,4,2974,211.67,554,15833,7.8,18.6,2.0,2.63,0,1,0,Yes,0,1,1,0,0,In-house,Monthly,Monthly,API Integrated,38277.24,1,4.0,225091.55,94.1,95.5,1.1,5,1.2,5,6,Medium,Coverage,3,No,Yes
CUST-10398,Souq Bazaar,2026-05-25,2026-06-06,Home & Living,SME,2.8,Abu  Dhabi,Retail Partners,1,300,196.66,,242,12.4,56.2,2.1,1.78,Yes,1,0,0,0,0,1,0,1,Aramex,Quarterly,Monthly,Dashboard Only,5101.97,21,2.9,111064.47,85.1,93.6,11.2,3,4.0,2,0,Medium,,5,No,Yes
CUST-10700,Aura Nutrition,2024-06-22,2026-06-22,Jewellery & Accessories,Startup,5.8,Dubai,Instagram Shop,1,51,76.18,22,1174,20.4,66.8,4.3,2.04,0,0,0,1,0,No,0,1,0,None,Monthly,Monthly,Manual,2407944.0,5,1.8,19506.94,88.0,90.2,21.0,6,5.6,2,3,High,Cost,5,No,No
CUST-10324,Velvet Beauty,2026-05-25,2026-06-03,Jewellery & Accessories,Mid-Market,0.7, Dubai ,Instagram Shop,5,2578,315.88,382,2228,7.2,50.1,1.6,1.81,Yes,1,1,1,0,0,0,1,1,Aramex,Pay-as-you-go,Monthly,API Integrated,56655.26,24,4.5,359481.28,88.4,93.9,6.5,3,1.8,4,4,Medium,,3,Yes,Yes
CUST-10815,Aura Tech,2025-08-20,2026-06-14,Fashion & Apparel,Enterprise,4.3,Dubai,Own Website,4,19735,333.66,800,171341,14.7,29.0,1.6,2.27,No,Yes,1,1,0,1,1,1,1,,Annual,Monthly,API Integrated,405111.1,13,4.9,14256872.71,89.6,97.7,0.5,2,2.6,5,5,Low,Reliability,3,No,Yes
CUST-10896,Bloom Co,2026-03-27,2026-06-26,Toys & Baby,Startup,1.2,Sharjah,TikTok Shop,1,184,AED 88.26,16,533,,74.5,2.3,1.86,Yes,0,1,0,1,0,0,0,0,Shipa,Pay-as-you-go,Monthly,Dashboard Only,1094.01,1,3.1,8295.02,86.3,94.6,,7,2.3,4,3,Medium,COD Reconciliation,3,No,No
CUST-10272,Pearl Supply,2023-05-05,2026-06-03,Health & Supplements,Startup,6.0,Dubai,TikTok Shop,1,47,25.0,38,1573,12.1,48.8,3.4,1.27,1,0,1,0,1,0,0,1,0,Shipa,Monthly,Monthly,Manual,150.0,24,1.9,6700.17,80.1,94.7,19.9,1,3.5,4,3,High,Speed,5,No,No
CUST-10915,Velvet Trading,2023-12-10,2026-06-22,toys & baby ,Enterprise,3.2,sharjah,Instagram Shop,3,12722,323.24,2276,282448,10.2,45.4,0.9,2.41,1,1,1,1,1,1,1,1,1,None,Annual,Weekly,Dashboard Only,292208.56,5,5.7,8585370.82,88.9,97.4,2.7,2,4.2,5,4,Low,Speed,4,No,Yes
CUST-10060,Falcon Co,2024-10-14,2026-06-04,fashion & apparel ,SME,4.8,Sharjah,Amazon.ae,1,766,265.75,225,15254,12.7,55.6,2.1,2.37,0,0,1,0,0,0,0,1,0,In House,Monthly,Monthly,Manual,21019.9,23,2.5,1065962.71,93.8,93.5,,7,2.0,4,3,Medium,Reliability,4,No,Yes
CUST-10837,Noor Co,2023-08-13,2026-06-26,Fashion & Apparel,Enterprise,4.2,Dubai,Noon,5,17903,277.88,1957,504673,9.3,24.0,1.2,2.15,1,0,1,1,0,1,1,1,1,In-house,Quarterly,Monthly,Dashboard Only,537939.31,1,4.5,23408977.65,94.4,93.4,0.5,2,2.3,5,6,Low,Cost,4,No,Yes
CUST-10514,Zest Nutrition,2023-09-30,2026-04-24,Home & Living,Startup,6.1,Dubai,Retail Partners,1,110,28.97,19,3134,18.0,62.3,4.0,1.08,1,0,1,1,0,0,0,1,0,,Pay-as-you-go,Bi-weekly,Manual,328.23,64,2.8,15908.19,100.0,91.8,8.3,1,,,6,Medium,Reliability,4,No,No
CUST-10107,Souq Nutrition,2025-06-10,2026-06-27,Health & Supplements,Startup,1.9,Ajman,Amazon.ae,1,157,63.8,39,1726,18.1,71.1,3.2,1.48,0,No,1,1,1,0,0,0,0,Aramex,Monthly,Monthly,Manual,681.67,0,2.9,11032.6,95.4,97.7,25.5,3,3.6,4,5,Medium,Tracking Visibility,4,No,No
CUST-10782,Bloom House,06/11/2023,2026-06-22,Health & Supplements,SME,2.7,Dubai,Retail Partners,2,739,164.61,115,20211,12.4,22.6,3.1,2.55,0,0,1,0,0,0,0,0,0,iMile,Monthly,Weekly,Manual,9311.91,5,3.7,153802.09,99.9,98.3,16.6,2,0.2,6,7,Medium,Tracking Visibility,2,No,No
CUST-10862,Amber Brands,2024-04-12,2026-06-24,Home & Living,Mid-Market,3.0,DUBAI,Noon,4,2101,255.36,529,51963,6.1,31.8,2.3,2.07,1,1,1,No,1,0,1,1,1,In-house,Quarterly,Monthly,Dashboard Only,56365.43,3,2.8,1294410.54,98.0,95.3,1.0,3,2.0,5,-2,Medium,Speed,5,No,Yes
CUST-10061,Luxe Bazaar,2025-01-29,2026-05-24,Toys & Baby,SME,3.5,Dubai,Own Website,1,797,140.63,174,10463,17.5,58.6,3.0,1.86,0,1,1,0,1,0,1,1,0,Aramex,Pay-as-you-go,Monthly,Manual,,34,2.2,350874.01,87.1,92.8,8.9,7,2.3,3,1,High,Returns Handling,5,Yes,No
CUST-10690,Desert Lab,2023-11-01,2026-04-27,Health & Supplements,Startup,2.8,Sharjah,Noon,1,125,27.22,4,2580,17.8,58.3,3.5,1.52,Yes,0,1,0,1,Yes,0,0,0,Quiqup,Pay-as-you-go,Weekly,Manual,215.49,61,2.9,4637.9,81.8,91.4,30.0,5,3.4,3,4,Medium,Reliability,5,Yes,No
CUST-10941,Zest Collective,2025-08-17,2026-05-17,Toys & Baby,Mid-Market,2.3,AUH,Noon,4,2996,218.79,704,22175,17.0,43.2,2.5,1.47,1,0,1,1,1,1,0,1,1,Aramex,Monthly,Bi-weekly,Dashboard Only,61321.26,41,3.7,977214.5,89.6,95.1,21.3,7,3.7,2,3,Low,Tracking Visibility,5,No,Yes
CUST-10973,Luxe Mart,02/11/2023,2026-05-15,Toys & Baby,Enterprise,6.4,Dubai,Instagram Shop,2,12841,316.67,1737,385031,3.5,26.8,1.0,2.54,0,1,1,0,0,1,1,1,1,Aramex,Annual,Monthly,API Integrated,426006.3,43,3.2,18210469.78,88.4,98.0,10.4,4,0.9,3,3,Low,Cost,5,No,Yes
CUST-11131,Falcon Lab,2026-04-14,2026-06-19,Toys & Baby,SME,0.5,Ajman,Amazon.ae,1,704,111.63,142,1363,15.4,60.3,4.2,1.94,Yes,Yes,Y,1,1,No,0,0,1,Smsa Express,Pay-as-you-go,Weekly,API Integrated,5602.92,8,4.7,28663.88,88.5,94.6,12.4,4,4.2,4,2,Medium,Returns Handling,4,No,No
CUST-10183,Noor Beauty,2025-06-10,2025-11-19,Beauty & Cosmetics,Startup,2.4,Ajman,Retail Partners,1,33,54.62,40,396,18.9,54.3,3.1,1.79,0,0,1,1,1,1,1,0,1,,Quarterly,Monthly,Manual,150.0,220,1.6,3122.43,94.5,94.1,17.4,1,5.8,4,2,Medium,COD Reconciliation,4,Yes,No
 CUST-10821 ,Aura Supply,2026-01-12,2026-06-13,Toys & Baby,SME,3.9,Dubai,Own Website,2,974,166.78,102,5258,13.9,35.2,2.1,2.51,1,0,0,1,0,0,1,1,1,In-house,Quarterly,Monthly,Dashboard Only,11193.05,14,2.7,425767.8,85.9,94.2,17.4,5,0.0,4,3,High,COD Reconciliation,5,Yes,Yes
CUST-10584,Oasis Lab,2024-06-04,2026-06-03,Home & Living,Enterprise,2.5,Dubai,Retail Partners,4,15098,299.6,2037,287616,12.7,24.2,2.1,2.59,0,0,0,0,0,No,0,0,0,In-house,Quarterly,Monthly,Dashboard Only,329401.36,24,4.5,8819604.32,98.3,100.0,10.2,0,1.4,6,4,Medium,COD Reconciliation,4,No,Yes
CUST-10093,Aura Collective,2023-11-11,12/05/2026,Beauty & Cosmetics,SME,3.8,Ajman,Own Website,1,824,225.35,67,23797,14.8,60.4,2.4,1.27,1,0,1,1,1,0,0,1,0,,Annual,Monthly,Manual,11738.8,46,3.8,439033.52,90.4,94.5,17.6,6,5.5,3,3,Medium,COD Reconciliation,4,No,Yes
CUST-10476,Amber Supply,2025-05-23,2026-06-04,Health & Supplements,SME,3.7,dubai,TikTok Shop,4,638,215.91,154,6776,10.3,68.2,2.2,2.01,1,0,0,0,0,0,0,1,1,In-house,Annual,Weekly,Manual,13272.35,23,2.7,446358.88,82.1,97.9,12.9,2,0.7,3,4,Medium,Reliability,5,Yes,Yes
CUST-10376,Oasis Brands,2025-10-20,11/06/2026,Home & Living,Enterprise,3.6,Ras Al Khaimah,Noon,3,12342,359.08,,84868,9.8,27.9,0.9,2.48,1,1,1,1,1,1,1,1,0,In-house,Annual,Weekly,Manual,439382.25,16,4.5,10305313.72,99.5,94.8,17.8,5,2.5,5,6,Medium,Returns Handling,3,No,Yes
CUST-10890,Dune Bazaar,2024-02-21,2026-05-28,Electronics & Gadgets,Startup,2.9,Umm Al Quwain,TikTok Shop,1,123,16397.59,20,2829,21.5,62.7,2.1,1.62,0,0,1,0,0,0,0,0,0,Smsa Express,Quarterly,Weekly,Manual,1511.12,30,2.4,34115.1,81.5,94.3,30.4,2,4.4,3,4,High,Cost,5,No,No
CUST-10912,Luxe Nutrition,2023-11-25,2026-06-25,Toys & Baby,Enterprise,4.6,Dubai,Noon,4,14326,442.88,1098,428165,10.3,10.9,0.5,1.45,1,0,0,0,0,1,0,1,1,None,Monthly,Bi-weekly,API Integrated,546096.83,2,2.8,15932791.35,93.7,96.2,13.9,5,0.0,5,4,Low,Coverage,3,No,Yes
CUST-10316,Souq House,2025-03-10,2026-06-03,Fashion & Apparel,SME,4.4,Ajman,Own Website,1,268,149.17,89,4232,11.3,50.9,2.7,1.26,1,0,1,0,0,0,0,1,1,ARAMEX ,Pay-as-you-go,Monthly,Manual,2616.17,24,3.9,70492.7,81.3,98.9,8.9,4,2.9,3,1,Medium,Coverage,4,No,No
CUST-10891,Souq Goods,30 Nov 2023,2026-06-20,Beauty & Cosmetics,Enterprise,3.6,Abu Dhabi,Noon,2,11264,364.69,,291857,4.8,17.0,1.5,2.77,1,1,1,1,0,0,1,1,1,Aramex,Annual,Bi-weekly,API Integrated,263056.09,7,5.8,6093386.0,92.7,96.2,10.2,3,5.0,5,4,Low,Returns Handling,4,No,Yes
CUST-10371,Lumen Threads,07/08/2025,20 Apr 2026,Electronics & Gadgets,Startup,4.3,Dubai,TikTok Shop,1,126,102.64,47,1139,18.9,58.8,3.1,1.66,0,0,0,0,0,No,0,0,0,Aramex,Pay-as-you-go,Monthly,Manual,832.76,68,2.6,32287.52,91.4,95.5,17.5,4,2.6,4,5,Medium,Speed,4,No,No
CUST-10331,Noor Living,2024-09-07,14/06/2026,Health & Supplements,Startup,2.0,Dubai,Own Website,1,179,26.08,28,3658,21.1,61.8,3.2,1.49,0,0,1,1,1,0,1,0,0,Fetchr,Pay-as-you-go,Monthly,Manual,310.69,13,3.3,5585.36,88.3,95.9,13.6,3,4.7,3,3,Low,,5,No,No
CUST-10454,Urban Threads,2025-02-23,2026-06-26,Toys & Baby,Startup,1.5,Abu Dhabi,Own Website,1,146,66.37,18,2306,23.6,69.5,4.3,1.82,0,0,1,Yes,1,0,0,1,1,Fetchr,Pay-as-you-go,Monthly,Dashboard Only,983.46,1,1.5,15535.97,89.8,94.5,9.5,5,4.5,3,1,High,Reliability,5,No,No
CUST-10795,Amber Co,2025-12-25,09/06/2026,Toys & Baby,SME,0.6,Dubai,TikTok Shop,2,673,152.87,136,2680,16.6,46.4,3.1,2.24,1,0,1,1,1,1,0,1,1,Aramex,Annual,Monthly,API Integrated,9998.38,18,4.1,59922.51,81.4,95.2,6.7,1,3.9,,4,Medium,Cost,5,No,Yes
CUST-10457,Noor Threads,2024-12-07,2026-05-15,Jewellery & Accessories,SME,4.3,Abu Dhabi,Noon,1,678,217.23,154,11485,15.4,75.7,3.0,1.88,0,1,1,1,1,0,1,0,1,Smsa Express,Monthly,Monthly,Manual,16052.52,43,2.9,540523.8,100.0,89.8,13.8,5,3.0,6,6,High,Returns Handling,4,No,No
CUST-11127,Lumen Trading,14/06/2025,2026-03-27,Food & Beverage,Mid-Market,1.2,DUBAI,Amazon.ae,5,5077,202.17,585,43181,13.3,57.0,2.2,2.2,1,0,Y,1,0,1,0,1,1,Smsa Express,Monthly,Bi-weekly,API Integrated,102585.46,92,4.7,884480.87,89.1,95.6,9.4,5,0.6,4,4,Low,Returns Handling,4,No,Yes
CUST-11025,Aura Tech,2023-08-26,2026-04-18,Fashion & Apparel,Startup,3.7,Abu Dhabi,Retail Partners,1,91,112.64,41,3014,14.7,87.9,3.0,1.28,0,0,1,1,1,0,0,0,0,iMile,Pay-as-you-go,Monthly,Manual,726.71,70,2.8,16577.49,,93.9,18.7,5,4.1,4,4,High,Coverage,5,Yes,No
CUST-10378,Souq Collective,2025-01-22,2026-06-13,Toys & Baby,SME,4.7,AUH,Noon,3,15,132.35,139,189,10.0,50.5,2.8,1.71,0,0,1,0,1,0,0,0,0,iMile,Quarterly,Bi-weekly,Dashboard Only,150.0,14,3.8,6705.01,93.2,94.2,2.9,4,4.8,4,3,Medium,Tracking Visibility,4,No,No
CUST-11128,Dune Boutique,2025-11-08,2026-05-18,Jewellery & Accessories,SME,3.4,Dubai,Amazon.ae,3,790,205.08,158,5750,22.8,62.5,1.3,1.02,0,1,0,1,1,1,1,1,0,Aramex,Monthly,Monthly,Manual,,40,1.7,305269.36,89.7,96.5,16.7,4,4.8,3,1,High,Reliability,5,No,No
CUST-10135,Dune Nutrition,2025-03-19,2026-06-08,Food & Beverage,Startup,5.0,Dubai,Amazon.ae,1,176,94.12,35,2391,20.7,40.6,3.9,1.42,0,0,0,Yes,1,0,0,0,0,Quiqup,Pay-as-you-go,Monthly,API Integrated,"1,695 AED",19,2.2,79855.61,88.0,91.4,22.5,6,3.2,4,3,Medium,Returns Handling,5,No,No
CUST-10434,Lumen Lab,2025-03-19,2026-05-02,Health & Supplements,Startup,3.2,Sharjah,Noon,1,116,65.31,34,1277,19.0,48.0,3.5,1.2,0,0,0,1,1,0,0,0,0,,Monthly,Bi-weekly,Manual,618.49,56,1.1,20102.78,98.0,88.1,10.8,1,3.6,5,3,High,Tracking Visibility,4,No,No
CUST-10092,Desert Co,2023-01-23,2026-06-22,Jewellery & Accessories,SME,5.2,Abu  Dhabi,Retail Partners,1,502,203.2,130,18812,15.8,52.6,2.5,1.89,1,0,0,Yes,0,0,0,1,1,iMile,Monthly,Weekly,API Integrated,9068.68,5,3.1,479323.58,95.9,95.0,6.0,1,3.8,5,3,Low,Speed,4,No,No
CUST-10352,Falcon Living,2025-02-26,2026-06-08,Home & Living,SME,1.5,DXB,TikTok Shop,3,592,125.86,91,9314,15.5,47.3,2.9,2.1,0,0,0,0,1,1,0,0,0,None,Pay-as-you-go,Monthly,Manual,6251.38,19,2.3,76107.36,79.8,92.0,23.2,1,6.1,3,4,Medium,Cost,5,No,No
CUST-10057,Oasis Tech,2025-10-10,2026-06-11,Health & Supplements,SME,1.5,Dubai,Instagram Shop,2,702,146.63,163,5984,16.9,35.8,3.6,1.21,0,0,1,1,1,0,0,0,1,imile,Pay-as-you-go,Bi-weekly,Manual,6913.8,16,2.2,88203.41,98.4,95.0,19.4,1,1.5,5,,High,Reliability,4,No,No
CUST-10540,Velvet Trading,2023-03-12,2026-06-20,Food & Beverage,Enterprise,4.6,DXB,Noon,5,9820,213.49,1683,279653,12.3,37.6,1.3,2.33,1,0,1,No,1,0,0,1,1,Aramex,Annual,Monthly,API Integrated,148522.17,7,6.0,4865755.84,81.9,94.7,6.2,4,0.0,4,4,Low,Cost,4,No,Yes
